ts,source,fetch_ok,total_items,total_weight,israel_items,israel_weight,attention_share,mean_sentiment
2026-08-31T15:38:59Z,nbcnews,1,47,55,1,1,0.01818,-1.0
2026-08-31T15:38:59Z,newsweek,1,78,55,1,3,0.05455,1.0
2026-08-31T15:38:59Z,bbc,1,37,55,0,0,0.0,
2026-08-31T15:38:59Z,guardian,1,34,55,1,5,0.09091,-1.0
2026-08-31T15:38:59Z,thetimes,1,92,55,0,0,0.0,
2026-08-31T15:38:59Z,dailymail,1,347,55,0,0,0.0,
2026-08-31T15:38:59Z,dw,1,43,55,2,4,0.07273,-0.25
2026-08-31T15:38:59Z,ap,0,0,0,0,0,,
2026-08-31T15:38:59Z,lemonde,1,34,55,1,1,0.01818,-1.0
2026-08-31T15:38:59Z,lefigaro,1,188,55,2,2,0.03636,0.0
2026-08-31T15:38:59Z,spiegel,1,174,55,1,1,0.01818,0.0
2026-08-31T15:38:59Z,bild,1,170,55,0,0,0.0,
2026-08-31T15:38:59Z,elpais,0,0,0,0,0,,
2026-08-31T15:38:59Z,corriere,1,243,55,0,0,0.0,
2026-08-31T15:38:59Z,cbc,1,30,55,0,0,0.0,
2026-08-31T15:38:59Z,abcau,1,82,55,1,1,0.01818,-1.0
2026-08-31T15:45:33Z,nyt,1,32,55,1,3,0.05455,-1.0
2026-08-31T15:45:33Z,usatoday,1,33,55,0,0,0.0,
2026-08-31T15:45:33Z,nypost,1,116,55,0,0,0.0,
2026-08-31T15:45:33Z,cnn,1,43,55,2,2,0.03636,-1.0
2026-08-31T15:45:33Z,foxnews,1,126,55,0,0,0.0,
2026-08-31T15:45:33Z,nbcnews,1,46,55,1,1,0.01818,-1.0
2026-08-31T15:45:33Z,newsweek,1,78,55,1,3,0.05455,1.0
2026-08-31T15:45:33Z,bbc,1,34,55,0,0,0.0,
2026-08-31T15:45:33Z,guardian,1,35,55,1,5,0.09091,-1.0
2026-08-31T15:45:33Z,thetimes,1,92,55,0,0,0.0,
2026-08-31T15:45:33Z,dailymail,1,347,55,0,0,0.0,
2026-08-31T15:45:33Z,dw,1,43,55,2,4,0.07273,-0.25
2026-08-31T15:45:33Z,ap,0,0,0,0,0,,
2026-08-31T15:45:33Z,lemonde,1,34,55,1,1,0.01818,-1.0
2026-08-31T15:45:33Z,lefigaro,1,191,55,2,4,0.07273,0.0
2026-08-31T15:45:33Z,spiegel,1,174,55,1,1,0.01818,0.0
2026-08-31T15:45:33Z,bild,1,171,55,0,0,0.0,
2026-08-31T15:45:33Z,elpais,0,0,0,0,0,,
2026-08-31T15:45:33Z,corriere,1,238,55,0,0,0.0,
2026-08-31T15:45:33Z,cbc,1,30,55,0,0,0.0,
2026-08-31T15:45:33Z,abcau,1,82,55,1,1,0.01818,-1.0
2026-08-31T16:45:26Z,nyt,1,33,55,1,3,0.05455,-1.0
2026-08-31T16:45:26Z,usatoday,1,33,55,0,0,0.0,
2026-08-31T16:45:26Z,nypost,1,158,55,0,0,0.0,
2026-08-31T16:45:26Z,cnn,1,42,55,1,1,0.01818,-1.0
2026-08-31T16:45:26Z,foxnews,1,128,55,0,0,0.0,
2026-08-31T16:45:26Z,nbcnews,1,47,55,1,1,0.01818,-1.0
2026-08-31T16:45:26Z,newsweek,1,78,55,1,1,0.01818,1.0
2026-08-31T16:45:26Z,bbc,1,32,55,0,0,0.0,
2026-08-31T16:45:26Z,guardian,1,34,55,1,3,0.05455,-1.0
2026-08-31T16:45:26Z,thetimes,1,93,55,0,0,0.0,
2026-08-31T16:45:26Z,dailymail,1,344,55,0,0,0.0,
2026-08-31T16:45:26Z,dw,1,43,55,2,4,0.07273,-0.25
2026-08-31T16:45:26Z,ap,0,0,0,0,0,,
2026-08-31T16:45:26Z,lemonde,1,35,55,1,1,0.01818,-1.0
2026-08-31T16:45:26Z,lefigaro,1,194,55,2,4,0.07273,0.0
2026-08-31T16:45:26Z,spiegel,1,175,55,1,1,0.01818,0.0
2026-08-31T16:45:26Z,bild,1,170,55,0,0,0.0,
2026-08-31T16:45:26Z,elpais,0,0,0,0,0,,
2026-08-31T16:45:26Z,corriere,1,240,55,0,0,0.0,
2026-08-31T16:45:26Z,cbc,1,30,55,0,0,0.0,
2026-08-31T16:45:26Z,abcau,1,81,55,1,1,0.01818,-1.0
